,x
0.0009163048,0
0.0014638647,1
0.0018872364,2
0.0016603849,3
0.0046049342,4
0.0039482135,5
0.0011353221,6
0.0050140154,7
0.0032518224,8
0.18131104,9
0.0047778417,10
0.002537636,11
0.0055211387,12
0.00060008577,13
0.0047237757,14
0.0044183275,15
0.0025283403,16
0.00096404576,17
0.0006497722,18
0.0011133322,19
0.001323338,20
0.0031941105,21
0.0022076599,22
0.0057989703,23
0.0013062938,24
0.00278194,25
0.0055794986,26
0.0047343876,27
0.003019519,28
0.008566759,29
0.006142448,30
0.0010666476,31
0.0031838738,32
0.18824106,33
0.0032500771,34
0.0019754407,35
0.00075992313,36
0.008741385,37
0.19831926,38
0.0032210704,39
0.004523197,40
0.0016872578,41
0.0060228263,42
0.00515159,43
0.0023968858,44
0.1821962,45
0.004790579,46
0.0044859266,47
0.0020212033,48
0.0021339257,49
0.0031698688,50
0.002173436,51
0.0018805064,52
0.0032865393,53
0.005418618,54
0.0036304253,55
