train,test,x
4.7358857560824115,4.7321728906382905,0
2.884311228587423,7.7201282083760345,100
0.02940917106291948,20.240768806666708,200
0.009388815857516945,20.934358585501624,300
0.00301475035827706,22.10878600137856,400
0.0009990473503630076,23.38363180137383,500
0.0003365095242712067,24.72934820308381,600
0.0001150452670985947,26.072467231931725,700
3.994587789053054e-05,27.409569227410046,800
1.415497579070822e-05,28.728918069224417,900
5.223775004506975e-06,29.982335724789703,1000
2.0886670805346028e-06,31.076830687708775,1100
9.68330456047223e-07,31.937836128838658,1200
5.562481507600819e-07,32.44934880833865,1300
4.0512465141509935e-07,32.587019981849195,1400
3.556573262900395e-07,32.43627437985754,1500
3.4304297791592434e-07,32.1484195171763,1600
3.4000326591652227e-07,31.817657437121376,1700
3.3918838558822534e-07,31.490325385499453,1800
3.382174094986073e-07,31.1832875851828,1900
3.373504771460574e-07,30.889885477883702,2000
3.360829555002327e-07,30.60882979890787,2100
3.345363214670608e-07,30.336966075528014,2200
3.330721030188218e-07,30.066239545247647,2300
3.317989230471058e-07,29.79476878314267,2400
3.3045571070792945e-07,29.537628122348227,2500
3.2899855494034627e-07,29.28323196025201,2600
3.2769805940942947e-07,29.03276751722825,2700
3.2645287883342433e-07,28.79031928007799,2800
3.251442691825138e-07,28.541548640155938,2900
3.2397730582996204e-07,28.292020045577353,3000
3.2282172219889946e-07,28.046211899203662,3100
3.216683870034116e-07,27.796887825064594,3200
3.2044185059224815e-07,27.543781352715055,3300
3.196847220826792e-07,27.291456857637108,3400
3.1833092798725946e-07,27.03561442018983,3500
3.1705013889713687e-07,26.783996721761568,3600
3.157976979910711e-07,26.53202317520714,3700
3.148077070951023e-07,26.284319572684957,3800
3.138334919165847e-07,26.03883989442523,3900
3.1260580956826936e-07,25.795144574527185,4000
3.116227404794005e-07,25.543397781534633,4100
3.1037797926486697e-07,25.286987853955896,4200
3.088811903010876e-07,25.02418832227744,4300
3.078425836264424e-07,24.750030432057958,4400
3.0697424678646617e-07,24.476855706554257,4500
3.059749346089716e-07,24.198244696487297,4600
3.0450389482631304e-07,23.91507477858167,4700
3.0339951487094126e-07,23.620013232934202,4800
3.020568098572763e-07,23.30975280871083,4900
3.0104808599598544e-07,22.98722098123947,5000
2.9958466778740445e-07,22.660467096073685,5100
2.98214182971241e-07,22.318572822793,5200
2.970536253992805e-07,21.963998320250255,5300
2.9547686156972023e-07,21.599606238952255,5400
2.9429072054116267e-07,21.230477854036575,5500
2.928267928911023e-07,20.84417521808639,5600
2.91688117145828e-07,20.451325346548106,5700
2.9015854561215867e-07,20.04360204084521,5800
2.8850023410384997e-07,19.624069549223513,5900
2.8729721130123295e-07,19.194797040401056,6000
2.856089985293366e-07,18.758252412075972,6100
2.8417411373147555e-07,18.306632851050384,6200
2.825977853097643e-07,17.858717463682684,6300
2.8110561359887334e-07,17.40823115871614,6400
2.795040701809843e-07,16.94931115711073,6500
2.779095205943469e-07,16.47914071318517,6600
2.7639221660264694e-07,16.00715476443171,6700
2.7475248546615554e-07,15.530639273075582,6800
2.7290912965909046e-07,15.038965235177443,6900
2.714754004619347e-07,14.538151835125309,7000
2.6943873499424756e-07,14.039924632018352,7100
2.678037449689765e-07,13.536556532969499,7200
2.6591069801367595e-07,13.039560005083352,7300
2.643636193190378e-07,12.549573150999374,7400
2.626950499827826e-07,12.081541642496877,7500
2.6111218344533717e-07,11.639359892032521,7600
2.5961697709672066e-07,11.213745157201753,7700
2.5803446131388666e-07,10.80492547017119,7800
2.5660471353333324e-07,10.41768004944286,7900
2.54910725556086e-07,10.0448803497811,8000
2.5348551415595344e-07,9.689672158829788,8100
2.521592512545658e-07,9.35608491401357,8200
2.5043082262575514e-07,9.02933049664996,8300
2.489897579491768e-07,8.711883457098935,8400
2.4739408750075343e-07,8.393874614245737,8500
2.4561093669490344e-07,8.077348242865547,8600
2.443693421983141e-07,7.753579973285498,8700
2.4237640620128607e-07,7.424580359001948,8800
2.403903197670548e-07,7.081787627616206,8900
2.3775094001289162e-07,6.720571231126004,9000
2.3550601684017608e-07,6.334780708614605,9100
2.3268139262713807e-07,5.921234641503391,9200
2.2966572249065367e-07,5.480493795540136,9300
2.260739626053958e-07,5.002456942485555,9400
2.2261593885232402e-07,4.485433822056582,9500
2.1744389046067586e-07,3.9284600378252246,9600
2.118315830918483e-07,3.323828352826191,9700
2.0387493345755694e-07,2.679778368530438,9800
1.9437684140115075e-07,2.0116388412407447,9900
1.844855464552247e-07,1.381813873487308,10000
1.7370324635355528e-07,0.8475674459487513,10100
1.64656946521688e-07,0.4739783966435415,10200
1.57145569342661e-07,0.2509359133683095,10300
1.5101596246973935e-07,0.13376522654811987,10400
1.4560686684752555e-07,0.07309216952828923,10500
1.4042470656462632e-07,0.04103656681454039,10600
1.3547164596651414e-07,0.02382198449364306,10700
1.3139366221310564e-07,0.014632167852731245,10800
1.2752446929668846e-07,0.008763054365134974,10900
1.2451845705694583e-07,0.005193202167321441,11000
1.2172711704982871e-07,0.0029598419268894167,11100
1.1901675604369238e-07,0.0015722246618046305,11200
1.166677516478276e-07,0.0007462631211135197,11300
1.1454929998891798e-07,0.0003000319389466955,11400
1.1254281991183161e-07,6.930781866308627e-05,11500
1.1078166847188577e-07,1.579895669930751e-05,11600
1.0927093188711942e-07,5.1493412019114005e-06,11700
1.0801443512176426e-07,2.428084184214107e-06,11800
1.0695045891856609e-07,1.4409484616378806e-06,11900
1.0610370279161687e-07,1.064520099185757e-06,12000
